,country,best_arima,mse
0,Argentina,"(3, 0, 0)",128512879515.35182
1,Australia,"(1, 0, 2)",176526482445.12527
2,Austria,"(1, 1, 0)",288560392.7580969
3,Barbados,"(0, 1, 1)",137.56530179773475
4,Belarus,"(0, 1, 0)",1583285.319489243
5,Belgium,"(0, 1, 1)",1378789430.2710667
6,Bulgaria,"(1, 1, 0)",6234674915.946369
7,Canada,"(5, 0, 0)",246647426069.94208
8,"China, Taiwan Province of","(3, 0, 0)",27.35262794227132
9,"China, mainland","(1, 0, 0)",3878379301.3664684
10,Croatia,"(0, 1, 0)",259159394.6576584
11,Cyprus,"(2, 0, 1)",7.232631174125913
12,Czechia,"(4, 1, 0)",718270851.2066303
13,Denmark,"(5, 1, 0)",710033098.357446
14,Egypt,"(0, 1, 0)",690955.9235247643
15,Estonia,"(0, 1, 0)",75702772.61490975
16,Finland,"(0, 1, 1)",39950545.74533527
17,Georgia,"(2, 1, 0)",50282298.86768572
18,Germany,"(4, 1, 0)",46239173524.84561
19,Guatemala,"(1, 0, 1)",25356.99915843096
20,Hungary,"(0, 1, 2)",4249001290.514116
21,India,"(0, 1, 1)",47587734293.94946
22,Indonesia,"(0, 1, 1)",7223537.464032289
23,Ireland,"(3, 0, 1)",10274296.768971324
24,Israel,"(0, 1, 1)",313159.6636385566
25,Italy,"(0, 1, 0)",916296246.4643544
26,Kazakhstan,"(0, 1, 1)",53181931562.694115
27,Kenya,"(1, 0, 0)",341281.1377687724
28,Lebanon,"(0, 1, 0)",4305998.895146669
29,Lithuania,"(0, 1, 0)",4217818367.092394
30,Luxembourg,"(1, 0, 0)",1085042.6641062081
31,Malaysia,"(0, 1, 2)",135154.5912126227
32,Mexico,"(0, 1, 1)",5502785690.826649
33,Morocco,"(0, 1, 0)",3624.1703383120566
34,Netherlands,"(0, 1, 2)",430367855.7010615
35,New Zealand,"(0, 0, 1)",69929.45143315397
36,North Macedonia,"(1, 1, 0)",47211.43296495493
37,Norway,"(0, 1, 0)",6014.530648363368
38,Oman,"(1, 0, 0)",1338873.411285165
39,Pakistan,"(1, 0, 0)",9080376853.477097
40,Paraguay,"(0, 1, 0)",1679635255.9096072
41,Peru,"(0, 1, 0)",916823.9155484303
42,Poland,"(5, 1, 0)",5508047511.323666
43,Portugal,"(1, 0, 2)",3335450.3981365594
44,Republic of Moldova,"(1, 1, 0)",72621635.38286985
45,Romania,"(0, 1, 1)",15157776942.293077
46,Russian Federation,"(1, 1, 0)",213412747198.87967
47,Slovakia,"(1, 1, 0)",208369744.97924528
48,Slovenia,"(0, 1, 1)",11974400.143305209
49,South Africa,"(2, 1, 0)",472956079.1561899
50,Spain,"(4, 0, 0)",1314654974.4006538
51,Sri Lanka,"(0, 1, 1)",1522073.8468578067
52,Sweden,"(2, 1, 1)",446986018.5942816
53,Switzerland,"(0, 1, 0)",48402.58839975262
54,Syrian Arab Republic,"(1, 0, 0)",914673142.4690365
55,Thailand,"(0, 1, 0)",57668.604729568324
56,Ukraine,"(6, 1, 0)",43881410355.99686
57,United Kingdom,"(2, 0, 0)",6750146496.492532
58,United Republic of Tanzania,"(1, 0, 0)",16925605.999057893
59,United States of America,"(0, 1, 1)",1134824366173.3708
60,Uruguay,"(1, 1, 0)",2337841070.1014943
61,Zambia,"(0, 0, 1)",345158.86110201053
62,Zimbabwe,"(1, 0, 0)",279128.19950308366
